,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Book,Chapters,Verses,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matthew,28,1071,25,23,17,25,48,34,29,34,38,42,30,50,58,36,39,28,27,35,30,34,46,46,39,51,46,75,66,20
Mark,16,678,45,28,35,41,43,56,37,38,50,52,33,44,37,72,47,20,0,0,0,0,0,0,0,0,0,0,0,0
Luke,24,1150,80,52,38,44,39,49,50,56,62,42,54,59,35,35,32,31,37,43,48,47,38,71,56,52,0,0,0,0
John,21,879,51,25,36,54,47,71,53,59,41,42,57,50,38,31,27,33,26,40,42,31,25,0,0,0,0,0,0,0
Acts,28,1007,26,47,26,37,42,15,60,40,43,48,30,25,52,28,41,40,34,28,41,38,40,30,35,27,27,32,44,31
Romans,16,433,32,29,31,25,21,23,25,39,33,21,36,21,14,23,33,27,0,0,0,0,0,0,0,0,0,0,0,0
1 Corinthians,16,437,31,16,23,21,13,20,40,13,27,33,34,31,13,40,58,24,0,0,0,0,0,0,0,0,0,0,0,0
2 Corinthians,13,257,24,17,18,18,21,18,16,24,15,18,33,21,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Galatians,6,149,24,21,29,31,26,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ephesians,6,155,23,22,21,32,33,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippians,4,104,30,30,21,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colossians,4,95,29,23,25,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1 Thessalonians,5,89,10,20,13,18,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 Thessalonians,3,47,12,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1 Timothy,6,113,20,15,16,16,25,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
