BF2_CumVerse,BF2_BCV,BF2_BookIndex,BF2_BookName,BF2_Chapter,BF2_Verse,,,VF1_CumVerse,VF1_BCV,VF1_BookIndex,VF1_BookName,VF1_Chapter,VF1_Verse
415,Matthew 13:20,1,Matthew,13,20,,,956,Matthew 26:46,1,Matthew,26,46
384,Matthew 12:39,1,Matthew,12,39,,,27,Matthew 2:2,1,Matthew,2,2
1049,Matthew 27:64,1,Matthew,27,64,,,843,Matthew 24:30,1,Matthew,24,30
200,Matthew 7:28,1,Matthew,7,28,,,773,Matthew 22:45,1,Matthew,22,45
2,Matthew 1:2,1,Matthew,1,2,,,358,Matthew 12:13,1,Matthew,12,13
811,Matthew 23:37,1,Matthew,23,37,,,208,Matthew 8:7,1,Matthew,8,7
257,Matthew 9:22,1,Matthew,9,22,,,742,Matthew 22:14,1,Matthew,22,14
153,Matthew 6:15,1,Matthew,6,15,,,429,Matthew 13:34,1,Matthew,13,34
38,Matthew 2:13,1,Matthew,2,13,,,986,Matthew 27:1,1,Matthew,27,1
624,Matthew 19:6,1,Matthew,19,6,,,466,Matthew 14:13,1,Matthew,14,13
323,Matthew 11:8,1,Matthew,11,8,,,349,Matthew 12:4,1,Matthew,12,4
683,Matthew 21:1,1,Matthew,21,1,,,37,Matthew 2:12,1,Matthew,2,12
55,Matthew 3:7,1,Matthew,3,7,,,989,Matthew 27:4,1,Matthew,27,4
793,Matthew 23:19,1,Matthew,23,19,,,676,Matthew 20:28,1,Matthew,20,28
224,Matthew 8:23,1,Matthew,8,23,,,367,Matthew 12:22,1,Matthew,12,22
53,Matthew 3:5,1,Matthew,3,5,,,264,Matthew 9:29,1,Matthew,9,29
205,Matthew 8:4,1,Matthew,8,4,,,765,Matthew 22:37,1,Matthew,22,37
83,Matthew 4:18,1,Matthew,4,18,,,1062,Matthew 28:11,1,Matthew,28,11
668,Matthew 20:20,1,Matthew,20,20,,,887,Matthew 25:23,1,Matthew,25,23
557,Matthew 17:1,1,Matthew,17,1,,,528,Matthew 15:39,1,Matthew,15,39
321,Matthew 11:6,1,Matthew,11,6,,,995,Matthew 27:10,1,Matthew,27,10
289,Matthew 10:16,1,Matthew,10,16,,,769,Matthew 22:41,1,Matthew,22,41
357,Matthew 12:12,1,Matthew,12,12,,,716,Matthew 21:34,1,Matthew,21,34
669,Matthew 20:21,1,Matthew,20,21,,,756,Matthew 22:28,1,Matthew,22,28
165,Matthew 6:27,1,Matthew,6,27,,,911,Matthew 26:1,1,Matthew,26,1
726,Matthew 21:44,1,Matthew,21,44,,,806,Matthew 23:32,1,Matthew,23,32
390,Matthew 12:45,1,Matthew,12,45,,,142,Matthew 6:4,1,Matthew,6,4
200,Matthew 7:28,1,Matthew,7,28,,,354,Matthew 12:9,1,Matthew,12,9
683,Matthew 21:1,1,Matthew,21,1,,,72,Matthew 4:7,1,Matthew,4,7
778,Matthew 23:4,1,Matthew,23,4,,,649,Matthew 20:1,1,Matthew,20,1
653,Matthew 20:5,1,Matthew,20,5,,,362,Matthew 12:17,1,Matthew,12,17
176,Matthew 7:4,1,Matthew,7,4,,,960,Matthew 26:50,1,Matthew,26,50
162,Matthew 6:24,1,Matthew,6,24,,,801,Matthew 23:27,1,Matthew,23,27
535,Matthew 16:7,1,Matthew,16,7,,,577,Matthew 17:21,1,Matthew,17,21
45,Matthew 2:20,1,Matthew,2,20,,,227,Matthew 8:26,1,Matthew,8,26
542,Matthew 16:14,1,Matthew,16,14,,,899,Matthew 25:35,1,Matthew,25,35
439,Matthew 13:44,1,Matthew,13,44,,,121,Matthew 5:31,1,Matthew,5,31
196,Matthew 7:24,1,Matthew,7,24,,,617,Matthew 18:34,1,Matthew,18,34
775,Matthew 23:1,1,Matthew,23,1,,,433,Matthew 13:38,1,Matthew,13,38
566,Matthew 17:10,1,Matthew,17,10,,,538,Matthew 16:10,1,Matthew,16,10
921,Matthew 26:11,1,Matthew,26,11,,,189,Matthew 7:17,1,Matthew,7,17
73,Matthew 4:8,1,Matthew,4,8,,,770,Matthew 22:42,1,Matthew,22,42
54,Matthew 3:6,1,Matthew,3,6,,,530,Matthew 16:2,1,Matthew,16,2
203,Matthew 8:2,1,Matthew,8,2,,,422,Matthew 13:27,1,Matthew,13,27
283,Matthew 10:10,1,Matthew,10,10,,,915,Matthew 26:5,1,Matthew,26,5
291,Matthew 10:18,1,Matthew,10,18,,,499,Matthew 15:10,1,Matthew,15,10
54,Matthew 3:6,1,Matthew,3,6,,,522,Matthew 15:33,1,Matthew,15,33
565,Matthew 17:9,1,Matthew,17,9,,,525,Matthew 15:36,1,Matthew,15,36
703,Matthew 21:21,1,Matthew,21,21,,,680,Matthew 20:32,1,Matthew,20,32
30,Matthew 2:5,1,Matthew,2,5,,,1023,Matthew 27:38,1,Matthew,27,38
954,Matthew 26:44,1,Matthew,26,44,,,501,Matthew 15:12,1,Matthew,15,12
639,Matthew 19:21,1,Matthew,19,21,,,416,Matthew 13:21,1,Matthew,13,21
19,Matthew 1:19,1,Matthew,1,19,,,464,Matthew 14:11,1,Matthew,14,11
1035,Matthew 27:50,1,Matthew,27,50,,,49,Matthew 3:1,1,Matthew,3,1
753,Matthew 22:25,1,Matthew,22,25,,,962,Matthew 26:52,1,Matthew,26,52
653,Matthew 20:5,1,Matthew,20,5,,,97,Matthew 5:7,1,Matthew,5,7
735,Matthew 22:7,1,Matthew,22,7,,,390,Matthew 12:45,1,Matthew,12,45
1034,Matthew 27:49,1,Matthew,27,49,,,139,Matthew 6:1,1,Matthew,6,1
766,Matthew 22:38,1,Matthew,22,38,,,874,Matthew 25:10,1,Matthew,25,10
1010,Matthew 27:25,1,Matthew,27,25,,,373,Matthew 12:28,1,Matthew,12,28
278,Matthew 10:5,1,Matthew,10,5,,,74,Matthew 4:9,1,Matthew,4,9
844,Matthew 24:31,1,Matthew,24,31,,,578,Matthew 17:22,1,Matthew,17,22
167,Matthew 6:29,1,Matthew,6,29,,,253,Matthew 9:18,1,Matthew,9,18
181,Matthew 7:9,1,Matthew,7,9,,,775,Matthew 23:1,1,Matthew,23,1
14,Matthew 1:14,1,Matthew,1,14,,,992,Matthew 27:7,1,Matthew,27,7
993,Matthew 27:8,1,Matthew,27,8,,,528,Matthew 15:39,1,Matthew,15,39
77,Matthew 4:12,1,Matthew,4,12,,,854,Matthew 24:41,1,Matthew,24,41
641,Matthew 19:23,1,Matthew,19,23,,,135,Matthew 5:45,1,Matthew,5,45
582,Matthew 17:26,1,Matthew,17,26,,,55,Matthew 3:7,1,Matthew,3,7
324,Matthew 11:9,1,Matthew,11,9,,,594,Matthew 18:11,1,Matthew,18,11
619,Matthew 19:1,1,Matthew,19,1,,,640,Matthew 19:22,1,Matthew,19,22
1056,Matthew 28:5,1,Matthew,28,5,,,184,Matthew 7:12,1,Matthew,7,12
728,Matthew 21:46,1,Matthew,21,46,,,559,Matthew 17:3,1,Matthew,17,3
982,Matthew 26:72,1,Matthew,26,72,,,898,Matthew 25:34,1,Matthew,25,34
887,Matthew 25:23,1,Matthew,25,23,,,188,Matthew 7:16,1,Matthew,7,16
651,Matthew 20:3,1,Matthew,20,3,,,211,Matthew 8:10,1,Matthew,8,10
798,Matthew 23:24,1,Matthew,23,24,,,175,Matthew 7:3,1,Matthew,7,3
644,Matthew 19:26,1,Matthew,19,26,,,399,Matthew 13:4,1,Matthew,13,4
319,Matthew 11:4,1,Matthew,11,4,,,182,Matthew 7:10,1,Matthew,7,10
692,Matthew 21:10,1,Matthew,21,10,,,997,Matthew 27:12,1,Matthew,27,12
55,Matthew 3:7,1,Matthew,3,7,,,781,Matthew 23:7,1,Matthew,23,7
242,Matthew 9:7,1,Matthew,9,7,,,566,Matthew 17:10,1,Matthew,17,10
941,Matthew 26:31,1,Matthew,26,31,,,443,Matthew 13:48,1,Matthew,13,48
578,Matthew 17:22,1,Matthew,17,22,,,1018,Matthew 27:33,1,Matthew,27,33
414,Matthew 13:19,1,Matthew,13,19,,,828,Matthew 24:15,1,Matthew,24,15
454,Matthew 14:1,1,Matthew,14,1,,,952,Matthew 26:42,1,Matthew,26,42
307,Matthew 10:34,1,Matthew,10,34,,,29,Matthew 2:4,1,Matthew,2,4
436,Matthew 13:41,1,Matthew,13,41,,,940,Matthew 26:30,1,Matthew,26,30
63,Matthew 3:15,1,Matthew,3,15,,,511,Matthew 15:22,1,Matthew,15,22
1036,Matthew 27:51,1,Matthew,27,51,,,725,Matthew 21:43,1,Matthew,21,43
342,Matthew 11:27,1,Matthew,11,27,,,759,Matthew 22:31,1,Matthew,22,31
662,Matthew 20:14,1,Matthew,20,14,,,284,Matthew 10:11,1,Matthew,10,11
