BF2_CumVerse,BF2_BCV,BF2_BookIndex,BF2_BookName,BF2_Chapter,BF2_Verse
7469,1 John 4:11,23,1 John,4,11
7521,3 John 1:8,25,3 John,1,8
6542,2 Thessalonians 3:9,14,2 Thessalonians,3,9
6327,Colossians 1:7,12,Colossians,1,7
6242,Philippians 1:26,11,Philippians,1,26
3750,John 20:28,4,John,20,28
6764,Titus 2:1,17,Titus,2,1
7534,Jude 1:6,26,Jude,1,6
5392,1 Corinthians 8:10,7,1 Corinthians,8,10
2944,John 1:45,4,John,1,45
6248,Philippians 2:2,11,Philippians,2,2
6739,2 Timothy 4:14,16,2 Timothy,4,14
7835,Revelation 17:4,27,Revelation,17,4
4787,Romans 1:2,6,Romans,1,2
4964,Romans 7:18,6,Romans,7,18
7517,3 John 1:4,25,3 John,1,4
5075,Romans 11:11,6,Romans,11,11
7156,James 2:8,20,James,2,8
3569,John 15:15,4,John,15,15
7522,3 John 1:9,25,3 John,1,9
6742,2 Timothy 4:17,16,2 Timothy,4,17
6469,1 Thessalonians 4:11,13,1 Thessalonians,4,11
6344,Colossians 1:24,12,Colossians,1,24
7210,James 5:1,20,James,5,1
6542,2 Thessalonians 3:9,14,2 Thessalonians,3,9
6768,Titus 2:5,17,Titus,2,5
6763,Titus 1:16,17,Titus,1,16
1893,Luke 3:12,3,Luke,3,12
7172,James 2:24,20,James,2,24
6720,2 Timothy 3:12,16,2 Timothy,3,12
7173,James 2:25,20,James,2,25
1174,Mark 3:30,2,Mark,3,30
7473,1 John 4:15,23,1 John,4,15
6676,2 Timothy 1:12,16,2 Timothy,1,12
6816,Philemon 1:23,18,Philemon,1,23
6379,Colossians 3:7,12,Colossians,3,7
6784,Titus 3:6,17,Titus,3,6
7501,2 John 1:1,24,2 John,1,1
7527,3 John 1:14,25,3 John,1,14
7519,3 John 1:6,25,3 John,1,6
5033,Romans 9:23,6,Romans,9,23
1785,Luke 1:36,3,Luke,1,36
4720,Acts 27:10,5,Acts,27,10
1196,Mark 4:17,2,Mark,4,17
5080,Romans 11:16,6,Romans,11,16
5947,Galatians 2:11,9,Galatians,2,11
6437,1 Thessalonians 2:12,13,1 Thessalonians,2,12
6657,1 Timothy 6:14,15,1 Timothy,6,14
6779,Titus 3:1,17,Titus,3,1
7368,2 Peter 2:13,22,2 Peter,2,13
7530,Jude 1:2,26,Jude,1,2
5902,2 Corinthians 13:4,8,2 Corinthians,13,4
7514,3 John 1:1,25,3 John,1,1
2131,Luke 8:30,3,Luke,8,30
4812,Romans 1:27,6,Romans,1,27
7500,1 John 5:21,23,1 John,5,21
6513,2 Thessalonians 1:9,14,2 Thessalonians,1,9
7916,Revelation 21:7,27,Revelation,21,7
7337,2 Peter 1:3,22,2 Peter,1,3
1355,Mark 7:36,2,Mark,7,36
5323,1 Corinthians 6:1,7,1 Corinthians,6,1
7535,Jude 1:7,26,Jude,1,7
5406,1 Corinthians 9:11,7,1 Corinthians,9,11
7464,1 John 4:6,23,1 John,4,6
6813,Philemon 1:20,18,Philemon,1,20
2226,Luke 10:7,3,Luke,10,7
5693,2 Corinthians 2:14,8,2 Corinthians,2,14
4642,Acts 24:18,5,Acts,24,18
6004,Galatians 4:18,9,Galatians,4,18
7479,1 John 4:21,23,1 John,4,21
7348,2 Peter 1:14,22,2 Peter,1,14
1561,Mark 12:32,2,Mark,12,32
5848,2 Corinthians 11:4,8,2 Corinthians,11,4
6609,1 Timothy 4:7,15,1 Timothy,4,7
5783,2 Corinthians 7:12,8,2 Corinthians,7,12
6899,Hebrews 5:14,19,Hebrews,5,14
6419,1 Thessalonians 1:4,13,1 Thessalonians,1,4
6877,Hebrews 4:8,19,Hebrews,4,8
3816,Acts 2:12,5,Acts,2,12
3813,Acts 2:9,5,Acts,2,9
6055,Galatians 6:12,9,Galatians,6,12
5757,2 Corinthians 6:4,8,2 Corinthians,6,4
2915,John 1:16,4,John,1,16
6761,Titus 1:14,17,Titus,1,14
7213,James 5:4,20,James,5,4
6417,1 Thessalonians 1:2,13,1 Thessalonians,1,2
6163,Ephesians 5:4,10,Ephesians,5,4
5345,1 Corinthians 7:3,7,1 Corinthians,7,3
4679,Acts 26:1,5,Acts,26,1
7252,1 Peter 1:23,21,1 Peter,1,23
6913,Hebrews 6:14,19,Hebrews,6,14
7530,Jude 1:2,26,Jude,1,2
4598,Acts 23:9,5,Acts,23,9
6477,1 Thessalonians 5:1,13,1 Thessalonians,5,1
7942,Revelation 22:6,27,Revelation,22,6
7512,2 John 1:12,24,2 John,1,12
7132,James 1:11,20,James,1,11
5699,2 Corinthians 3:3,8,2 Corinthians,3,3
6673,2 Timothy 1:9,16,2 Timothy,1,9
6718,2 Timothy 3:10,16,2 Timothy,3,10
1447,Mark 10:3,2,Mark,10,3
3702,John 19:22,4,John,19,22
6260,Philippians 2:14,11,Philippians,2,14
6247,Philippians 2:1,11,Philippians,2,1
1478,Mark 10:34,2,Mark,10,34
6278,Philippians 3:2,11,Philippians,3,2
7174,James 2:26,20,James,2,26
4243,Acts 13:26,5,Acts,13,26
5411,1 Corinthians 9:16,7,1 Corinthians,9,16
6426,1 Thessalonians 2:1,13,1 Thessalonians,2,1
6598,1 Timothy 3:12,15,1 Timothy,3,12
6781,Titus 3:3,17,Titus,3,3
7504,2 John 1:4,24,2 John,1,4
2177,Luke 9:20,3,Luke,9,20
5313,1 Corinthians 5:4,7,1 Corinthians,5,4
6509,2 Thessalonians 1:5,14,2 Thessalonians,1,5
6669,2 Timothy 1:5,16,2 Timothy,1,5
6550,2 Thessalonians 3:17,14,2 Thessalonians,3,17
6632,1 Timothy 5:14,15,1 Timothy,5,14
6560,1 Timothy 1:9,15,1 Timothy,1,9
7690,Revelation 8:7,27,Revelation,8,7
7524,3 John 1:11,25,3 John,1,11
6417,1 Thessalonians 1:2,13,1 Thessalonians,1,2
4591,Acts 23:2,5,Acts,23,2
5115,Romans 12:15,6,Romans,12,15
6473,1 Thessalonians 4:15,13,1 Thessalonians,4,15
3886,Acts 4:9,5,Acts,4,9
6651,1 Timothy 6:8,15,1 Timothy,6,8
6516,2 Thessalonians 1:12,14,2 Thessalonians,1,12
7348,2 Peter 1:14,22,2 Peter,1,14
6100,Ephesians 2:16,10,Ephesians,2,16
7590,Revelation 2:17,27,Revelation,2,17
6684,2 Timothy 2:2,16,2 Timothy,2,2
6796,Philemon 1:3,18,Philemon,1,3
1124,Mark 2:8,2,Mark,2,8
7522,3 John 1:9,25,3 John,1,9
3600,John 16:19,4,John,16,19
1871,Luke 2:42,3,Luke,2,42
7828,Revelation 16:18,27,Revelation,16,18
415,Matthew 13:20,1,Matthew,13,20
7530,Jude 1:2,26,Jude,1,2
6214,Ephesians 6:22,10,Ephesians,6,22
6535,2 Thessalonians 3:2,14,2 Thessalonians,3,2
