VF2_CumVerse,VF2_BCV,VF2_BookIndex,VF2_BookName,VF2_Chapter,VF2_Verse
3053,John 4:42,4,John,4,42
5898,2 Corinthians 12:21,8,2 Corinthians,12,21
6236,Philippians 1:20,11,Philippians,1,20
2319,Luke 12:4,3,Luke,12,4
7547,Jude 1:19,26,Jude,1,19
578,Matthew 17:22,1,Matthew,17,22
667,Matthew 20:19,1,Matthew,20,19
4425,Acts 18:13,5,Acts,18,13
4286,Acts 14:17,5,Acts,14,17
1477,Mark 10:33,2,Mark,10,33
4669,Acts 25:18,5,Acts,25,18
3493,John 13:8,4,John,13,8
2508,Luke 17:1,3,Luke,17,1
5741,2 Corinthians 5:9,8,2 Corinthians,5,9
3496,John 13:11,4,John,13,11
4672,Acts 25:21,5,Acts,25,21
456,Matthew 14:3,1,Matthew,14,3
6280,Philippians 3:4,11,Philippians,3,4
1089,Mark 1:18,2,Mark,1,18
5372,1 Corinthians 7:30,7,1 Corinthians,7,30
1349,Mark 7:30,2,Mark,7,30
7458,1 John 3:24,23,1 John,3,24
2294,Luke 11:33,3,Luke,11,33
2338,Luke 12:23,3,Luke,12,23
4214,Acts 12:22,5,Acts,12,22
3921,Acts 5:7,5,Acts,5,7
3224,John 7:41,4,John,7,41
562,Matthew 17:6,1,Matthew,17,6
3347,John 10:11,4,John,10,11
4555,Acts 21:36,5,Acts,21,36
2739,Luke 22:19,3,Luke,22,19
1036,Matthew 27:51,1,Matthew,27,51
1833,Luke 2:4,3,Luke,2,4
6676,2 Timothy 1:12,16,2 Timothy,1,12
1592,Mark 13:19,2,Mark,13,19
4775,Acts 28:21,5,Acts,28,21
5466,1 Corinthians 11:11,7,1 Corinthians,11,11
514,Matthew 15:25,1,Matthew,15,25
2130,Luke 8:29,3,Luke,8,29
2406,Luke 13:32,3,Luke,13,32
1264,Mark 6:1,2,Mark,6,1
5483,1 Corinthians 11:28,7,1 Corinthians,11,28
6021,Galatians 5:4,9,Galatians,5,4
3060,John 4:49,4,John,4,49
2258,Luke 10:39,3,Luke,10,39
7103,Hebrews 13:7,19,Hebrews,13,7
7240,1 Peter 1:11,21,1 Peter,1,11
6994,Hebrews 10:6,19,Hebrews,10,6
3355,John 10:19,4,John,10,19
2975,John 2:25,4,John,2,25
6338,Colossians 1:18,12,Colossians,1,18
4977,Romans 8:6,6,Romans,8,6
6206,Ephesians 6:14,10,Ephesians,6,14
2290,Luke 11:29,3,Luke,11,29
1063,Matthew 28:12,1,Matthew,28,12
2995,John 3:20,4,John,3,20
2763,Luke 22:43,3,Luke,22,43
7687,Revelation 8:4,27,Revelation,8,4
1959,Luke 4:40,3,Luke,4,40
3792,Acts 1:14,5,Acts,1,14
184,Matthew 7:12,1,Matthew,7,12
2290,Luke 11:29,3,Luke,11,29
285,Matthew 10:12,1,Matthew,10,12
1806,Luke 1:57,3,Luke,1,57
5780,2 Corinthians 7:9,8,2 Corinthians,7,9
3658,John 18:18,4,John,18,18
1478,Mark 10:34,2,Mark,10,34
141,Matthew 6:3,1,Matthew,6,3
3048,John 4:37,4,John,4,37
5881,2 Corinthians 12:4,8,2 Corinthians,12,4
6524,2 Thessalonians 2:8,14,2 Thessalonians,2,8
4404,Acts 17:26,5,Acts,17,26
5921,Galatians 1:9,9,Galatians,1,9
3205,John 7:22,4,John,7,22
2673,Luke 20:38,3,Luke,20,38
1807,Luke 1:58,3,Luke,1,58
7233,1 Peter 1:4,21,1 Peter,1,4
4090,Acts 9:19,5,Acts,9,19
6957,Hebrews 8:10,19,Hebrews,8,10
7612,Revelation 3:10,27,Revelation,3,10
2753,Luke 22:33,3,Luke,22,33
6906,Hebrews 6:7,19,Hebrews,6,7
3848,Acts 2:44,5,Acts,2,44
6859,Hebrews 3:9,19,Hebrews,3,9
5903,2 Corinthians 13:5,8,2 Corinthians,13,5
7545,Jude 1:17,26,Jude,1,17
375,Matthew 12:30,1,Matthew,12,30
862,Matthew 24:49,1,Matthew,24,49
3253,John 8:17,4,John,8,17
387,Matthew 12:42,1,Matthew,12,42
4080,Acts 9:9,5,Acts,9,9
6342,Colossians 1:22,12,Colossians,1,22
1679,Mark 14:69,2,Mark,14,69
7859,Revelation 18:10,27,Revelation,18,10
2085,Luke 7:34,3,Luke,7,34
3408,John 11:30,4,John,11,30
2058,Luke 7:7,3,Luke,7,7
2154,Luke 8:53,3,Luke,8,53
4044,Acts 8:13,5,Acts,8,13
2869,Luke 24:22,3,Luke,24,22
3028,John 4:17,4,John,4,17
6709,2 Timothy 3:1,16,2 Timothy,3,1
4709,Acts 26:31,5,Acts,26,31
6281,Philippians 3:5,11,Philippians,3,5
6324,Colossians 1:4,12,Colossians,1,4
4814,Romans 1:29,6,Romans,1,29
5798,2 Corinthians 8:11,8,2 Corinthians,8,11
2326,Luke 12:11,3,Luke,12,11
1010,Matthew 27:25,1,Matthew,27,25
6874,Hebrews 4:5,19,Hebrews,4,5
2504,Luke 16:28,3,Luke,16,28
2414,Luke 14:5,3,Luke,14,5
1719,Mark 15:37,2,Mark,15,37
1147,Mark 3:3,2,Mark,3,3
1,Matthew 1:1,1,Matthew,1,1
4015,Acts 7:44,5,Acts,7,44
448,Matthew 13:53,1,Matthew,13,53
7390,2 Peter 3:13,22,2 Peter,3,13
5815,2 Corinthians 9:4,8,2 Corinthians,9,4
1480,Mark 10:36,2,Mark,10,36
7388,2 Peter 3:11,22,2 Peter,3,11
1188,Mark 4:9,2,Mark,4,9
3686,John 19:6,4,John,19,6
59,Matthew 3:11,1,Matthew,3,11
6603,1 Timothy 4:1,15,1 Timothy,4,1
2932,John 1:33,4,John,1,33
139,Matthew 6:1,1,Matthew,6,1
5144,Romans 14:9,6,Romans,14,9
3810,Acts 2:6,5,Acts,2,6
5844,2 Corinthians 10:18,8,2 Corinthians,10,18
5198,Romans 16:7,6,Romans,16,7
7573,Revelation 1:20,27,Revelation,1,20
1252,Mark 5:32,2,Mark,5,32
989,Matthew 27:4,1,Matthew,27,4
1562,Mark 12:33,2,Mark,12,33
3180,John 6:68,4,John,6,68
2749,Luke 22:29,3,Luke,22,29
1719,Mark 15:37,2,Mark,15,37
303,Matthew 10:30,1,Matthew,10,30
5410,1 Corinthians 9:15,7,1 Corinthians,9,15
3122,John 6:10,4,John,6,10
945,Matthew 26:35,1,Matthew,26,35
7237,1 Peter 1:8,21,1 Peter,1,8
33,Matthew 2:8,1,Matthew,2,8
2927,John 1:28,4,John,1,28
1453,Mark 10:9,2,Mark,10,9
1548,Mark 12:19,2,Mark,12,19
4594,Acts 23:5,5,Acts,23,5
4460,Acts 19:20,5,Acts,19,20
